values,ind
shi4,鰘
zuo1,嘬
zai3,崽
tang2,饧
xing4,悻
li2,錅
"zhen1,chen3",鍖
wu2,鵐
fou3,鴀
lei2,鱩
ruo4,鰙
jiao4,噍
wei2,嵬
tun2,饨
fei3,悱
qiang1,錆
ti2,鍗
juan1,鵑
yao1,鴁
shu3,鱪
o1,噢
yu2,嵛
xi4,饩
chang3,惝
pei2,錇
zha2,鍘
yu4,鵒
"jue2,gui1",鴂
qin2,噙
cuo2,嵯
ren4,饪
wang3,惘
juan3,錈
hu4,鍙
"zhan1,shan4",鳣
xiang4,鱌
zong1,鯼
"ku4,ku1",鮬
he1,嗬
lan2,岚
ju4,鉅
"xiang4,hou2",銗
mang2,鋩
guan3,鳤
bo1,鱍
ji4,鯽
"xie2,gui1",鮭
chen1,嗔
ba1,岜
"suan1,jun4",狻
ming2,銘
"pu4,pu1",鋪
"niao3,diao3",鳥
jiao3,鱎
bian1,鯾
"xian3,xian1",鮮
suo1,嗦
hu4,岵
yi1,猗
kua3,銙
li2,鋫
yi3,鳦
xun2,鱏
bian1,鯿
ge2,鮯
ge2,嗝
ke3,岢
guo3,猓
"yao2,diao4",銚
pan4,鋬
fu2,鳧
su4,鱐
huan4,鰀
hui2,鮰
a2,嗄
dong1,岽
luo2,猡
"xian1,gua1",銛
rui4,鋭
li4,鳨
huang2,鱑
quan2,鰁
lao3,鮱
en4,嗯
jia3,岬
ni2,猊
xian2,銜
cheng2,鋮
jiu1,鳩
zun1,鱒
zei2,鰂
fu2,鮲
hao2,嗥
xiu4,岫
she1,猞
xiu1,銝
gao4,鋯
bu3,鳪
"tuo2,shan4",鱓
wei1,鰃
kao4,鮳
dia3,嗲
dai4,岱
cu4,猝
jun1,銞
li3,鋰
yan4,鳫
shan4,鱔
wei1,鰄
ai4,嗳
gou3,岣
mi2,猕
cha1,銟
te4,鋱
fu2,鳬
fan1,鱕
yu2,鰅
duo2,鮵
"yi4,ai4",嗌
mao3,峁
hu2,猢
lao3,銠
"zhao1,diao1",鳭
"jue2,gui4",鱖
chun1,鰆
jun1,鮶
suo1,嗍
min2,岷
cha2,猹
ji2,銡
zhu4,鋳
ji1,鳮
lin2,鱗
rou2,鰇
ti2,鮷
hei1,嗨
yi4,峄
wei3,猥
pi3,銢
zhen4,鋴
feng4,鳯
xun2,鱘
"qie4,die2",鰈
mian3,鮸
tong1,嗵
dong4,峒
wei4,猬
ru2,銣
tu1,鋵
miao2,鱙
huang2,鰉
shao1,鮹
chi1,嗤
qiao2,峤
mei2,猸
mi3,銤
liu3,鋶
"han4,gan1",鳱
"xi3,xi1",鱚
lian4,鰊
zha3,鮺
pei4,辔
xun2,峋
nao2,猱
yi1,銥
"zui4,nie4",鋷
shi1,鳲
yan3,鰋
lei5,嘞
zheng1,峥
zhang1,獐
yin1,銦
ju4,鋸
xi2,鰼
li2,鯬
hou4,鮜
ga4,魀
kui4,喟
qiao3,釥
bing3,鈵
mo4,銆
qiu2,鰽
meng3,鯭
xiang3,鮝
xu1,魆
jiu1,啾
wei2,帷
"si4,ci2",鈶
lei4,銇
biao4,鰾
zong1,鯮
er2,鮞
"yu4,huo4",魊
sou1,嗖
wo4,幄
"gu4,gu3",鈷
ji1,銈
ji4,鰿
"zhi4,ji4",鯯
"an4,an1",鮟
"zhui1,tui2",魋
yin1,喑
man4,幔
bo2,鈸
"yu4,si4",銉
ji4,鱀
nian2,鯰
wei2,鮠
qi1,魌
chi4,啻
zhang4,幛
"pi2,pi1",鈹
"xu4,hui4",銊
zhu2,鱁
zhao4,鮡
liang3,魎
jie1,嗟
fu2,幞
yu4,鈺
"ren3,ren2",銋
jiang1,鱂
zhu1,鮢
gan1,魐
lou5,喽
fan1,幡
si4,鈻
"xiu1,qiu1",鱃
yin4,鮣
piao1,魒
ku4,喾
ji2,岌
zuo2,鈼
zhi4,銍
"zhuan1,tuan2",鱄
shi1,鯴
lie4,鮤
bi4,魓
wo1,喔
qi3,屺
bu1,鈽
shan1,銏
yong1,鱅
"shen1,can1",鯵
"luo4,ge2",鮥
qi2,魕
hui4,喙
qian1,岍
you2,鈾
"li4,chi4",銐
zhang1,鱆
huan4,鯶
tong2,鮦
xu1,魖
qin2,嗪
qi2,岐
"tian2,dian4",鈿
"xian3,xi3",銑
kang1,鱇
ti2,鯷
"yi2,ti3",鮧
chou3,魗
ao2,嗷
qu1,岖
jia3,鉀
jian1,銒
xue3,鱈
hou2,鯸
"yi4,qi2",鮨
yan3,魘
su4,嗉
ya2,岈
"zhen4,zhen1",鉁
quan2,銓
bie1,鱉
xing1,鯹
"bing4,bi4",鮩
zhan1,魙
du1,嘟
xian4,岘
shi3,鉂
pi1,銔
yu4,鱊
zhu1,鯺
wei3,鮪
yu2,魚
ke1,嗑
ao4,岙
shi4,鉃
"yi2,tie3",銕
qu1,鱋
la4,鯻
jiao1,鮫
nie4,嗫
cen2,岑
tie3,鉄
zhu1,銖
qie4,鯜
gun3,鮌
dou4,鬬
"jue2,bo2",髉
"quan1,huan1",酄
yi3,釔
huo3,鈥
gu4,鯝
"pi2,pi1",鮍
dou4,鬭
"cuo1,ci1",髊
yo1,唷
"liao4,liao3",釕
tai4,鈦
zhou3,鯞
nian2,鮎
jiu1,鬮
mo2,髍
dan4,啖
dao1,釖
kang4,鈧
dong1,鯟
"zheng1,xing1",鮏
yu4,鬰
liao2,髎
bo5,啵
zhao1,釗
lai2,鯠
tai2,鮐
yu4,鬱
lou2,髏
ding4,啶
"ding5,ding1",釘
lu2,鈩
"fei4,fei1",鯡
"bao4,bao1",鮑
yan4,鬳
xiao1,髐
lang1,啷
"po4,po1",釙
e4,鈪
ni2,鯢
fu4,鮒
"li4,fu3",鬴
"zang3,zang1",髒
li4,唳
qiu2,釚
qin2,鈫
yi4,鯣
"zha4,zha3",鮓
"xin2,qin2",鬵
"ti3,ti1",體
shua1,唰
ba1,釛
kun1,鯤
ju4,鮔
gui1,鬶
bin4,髕
chuo4,啜
zhen1,針
zi1,鈭
lu4,鯥
gu1,鮕
kuan1,髖
die2,喋
zhi2,釞
"ni3,ni2",鈮
jiu4,鯦
shi2,鮖
liu4,鬸
lu2,髗
da1,嗒
ba1,釟
tu2,鈯
chang1,鯧
dong1,鮗
"xie2,gui1",鬹
gao1,髙
nan2,喃
luan4,釠
shi4,鈰
jing1,鯨
chou2,鮘
shang1,鬺
qiao4,髚
li2,喱
fu3,釡
"min3,min2",鈱
lun2,鯩
"ta3,die2",鮙
mei4,鬽
kao1,髛
kui2,喹
nai3,釢
"pi4,gu1",鈲
ling2,鯪
jie2,鮚
"qi2,ji4",鬾
qiao3,髜
jie1,喈
diao4,釣
ke1,鈳
zou1,鯫
shu1,鮛
qi2,鬿
yong2,喁
"shan4,shan1",釤
ling2,鈴
"xie2,qu1",魼
xu1,鬚
yi4,骮
sou1,騪
"duo1,dan1",鄲
yan4,醼
"han2,han1",魽
lie4,鬛
ang1,骯
"qian1,jian3",騫
meng2,鄳
ling2,醽
"pi2,pi1",魾
qian1,鬜
bao4,骲
cheng2,騬
ye4,鄴
mi2,醾
"ling2,lin2",魿
qian1,鬝
bei4,骳
zhi4,騭
mi2,醿
tuo2,鮀
"nang4,nang2",鬞
"zhai4,ci1",骴
liu2,騮
kuai4,鄶
"niang4,niang2",釀
"bo1,ba4",鮁
"kuo4,kuai4",鬠
ti3,骵
peng2,騯
feng1,鄷
xin4,釁
qiu2,鮂
ning2,鬡
"qiao1,jiao1",骹
"teng5,teng1",騰
meng2,鄸
jiao4,釂
ping2,鮃
bin4,鬢
kua4,骻
xi2,騱
kuang4,鄺
"shi1,shai1",釃
fu2,鮄
"rang2,ning2",鬤
tui3,骽
cao3,騲
lian3,鄻
mi2,釄
bi4,鮅
dou4,鬥
geng3,骾
du2,騳
"zan4,cuo2",鄼
yan4,釅
"ji4,ci3",鮆
dou4,鬦
pian2,骿
yan4,騴
chan2,鄽
"bian4,bian3",釆
wei4,鮇
"nao5,nao4",鬧
yu2,髃
yuan2,騵
you1,鄾
"qu2,ju1",鮈
"xiang4,hong4",鬨
sui3,髄
"zhu1,zou1",騶
qi2,鄿
shi4,釋
diao1,鮉
xi4,鬩
"po4,bo2",髆
sao1,騷
yan4,酀
"xi1,li2",釐
"bo2,ba4",鮊
dou4,鬪
xiao1,髇
shan4,騸
chan2,酁
jin1,釒
you2,鮋
han3,鬫
"pang3,bang3",髈
"zan4,cuo2",酂
"qiu2,ga2",釓
zheng1,鬇
li2,驪
qian2,騚
liao3,鄝
po3,駊
zong1,鬉
"piao1,biao1",驫
fei1,騛
zhuan1,鄟
zhao1,駋
shun4,鬊
ri4,驲
huang2,騜
hu4,鄠
yuan1,駌
jian3,鬋
yin1,骃
qian2,騝
"qiao2,qiao1",鄡
peng1,駍
"duo3,chui2",鬌
"piao1,biao1",骉
huo1,騞
"wan4,man4",鄤
zhou4,駎
hu2,鬍
xing1,骍
yu2,騟
qiao1,鄥
ju4,駏
la4,鬎
qin1,骎
ti2,騠
xu3,鄦
zhu4,駐
qi2,鬐
zong1,骔
quan1,騡
deng4,鄧
nu2,駑
lian2,鬑
su4,骕
xia2,騢
bi4,鄨
"ju4,ju1",駒
zhen3,鬒
kui2,骙
zong1,騣
xun2,鄩
pi1,駓
peng2,鬔
shuang1,骦
kui2,騤
bi4,鄪
"zu4,zang3",駔
ma4,鬕
"wei3,wan2",骩
rou2,騥
zeng1,鄫
jia4,駕
"san4,san1",鬖
"wei3,wan2",骪
si1,騦
wei2,鄬
ling2,駖
man2,鬗
"wei3,wan2",骫
gua1,騧
zheng4,鄭
zhen3,駗
man2,鬘
yu2,骬
mao4,鄮
"tai2,dai4",駘
seng1,鬙
gan4,骭
"tui2,gui1",騩
lin2,鄰
jing1,驚
tao2,騊
gao1,餻
sa4,馺
yi4,驛
lai2,騋
xi4,餼
yun3,馻
yu2,NA
ye4,驜
zong1,騌
kui4,餽
wen2,馼
yin4,NA
"zhe2,tuo1",驝
ke4,騍
"liu4,liu2",餾
zhi2,馽
chun1,NA
pin1,驞
"qi2,ji4",騎
sou1,餿
"dan4,dan3",馾
qiu1,NA
zhou4,驟
qi2,騏
"tao2,tao1",饀
lv2,馿
yu2,NA
yan4,驠
yan4,騐
ye4,饁
you2,駀
teng2,NA
"zang3,long2",驡
fei1,騑
bo2,駁
shi1,NA
lv2,驢
sao1,騒
mo2,饃
bao3,駂
jiao1,NA
teng2,驣
tang2,饄
"kuai4,jue2",駃
lie4,NA
xiang1,驤
ge2,騔
man2,饅
"tuo2,duo4",駄
jing1,NA
ji4,驥
yao3,騕
bi4,饆
ju2,NA
shuang1,驦
wu4,騖
yu4,饇
qu1,駆
ti1,NA
ju2,驧
pian4,騗
xiu1,饈
wen2,駇
pi4,NA
xi2,驨
cong1,騘
jin3,饉
qu1,駈
yan3,NA
huan1,驩
pian4,騙
jiong1,駉
xin1,NA
kan1,龕
jing1,鼱
